Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
LEC,16,Ferrari,6,0 days 00:01:51.200000,2.0,,0 days 00:24:01.921000,0 days 00:00:34.056000,0 days 00:00:35.523000,0 days 00:00:41.621000,260.0,278.0,,230.0,SOFT,6.0,False,False,1,,,111.2,34.056,35.523,41.621
LEC,16,Ferrari,7,,3.0,0 days 00:40:17.529000,,,0 days 00:00:37.916000,0 days 00:00:31.573000,268.0,259.0,315.0,82.0,SOFT,7.0,False,False,12,,,,,37.916,31.573
LEC,16,Ferrari,8,0 days 00:01:20.296000,3.0,,,0 days 00:00:26.667000,0 days 00:00:26.992000,0 days 00:00:26.637000,328.0,339.0,314.0,348.0,SOFT,8.0,False,True,1,,,80.296,26.667,26.992,26.637
LEC,16,Ferrari,9,0 days 00:01:41.299000,3.0,,0 days 00:45:08.578000,0 days 00:00:30.056000,0 days 00:00:30.849000,0 days 00:00:40.394000,298.0,296.0,,258.0,SOFT,9.0,False,False,1,,,101.299,30.056,30.849,40.394
LEC,16,Ferrari,10,0 days 00:02:05.416000,4.0,0 days 00:45:40.296000,,0 days 00:01:00.587000,0 days 00:00:35.752000,0 days 00:00:29.077000,121.0,312.0,317.0,220.0,SOFT,1.0,True,False,1,,,125.416,60.587,35.752,29.077
LEC,16,Ferrari,11,0 days 00:01:20.007000,4.0,,,0 days 00:00:26.475000,0 days 00:00:26.921000,0 days 00:00:26.611000,329.0,338.0,317.0,348.0,SOFT,2.0,True,True,1,,,80.007,26.475,26.921,26.611
LEC,16,Ferrari,12,0 days 00:01:49.572000,4.0,,0 days 00:50:24.990000,0 days 00:00:33.698000,0 days 00:00:35.101000,0 days 00:00:40.773000,276.0,278.0,,228.0,SOFT,3.0,True,False,1,,,109.572,33.698,35.101,40.773
LEC,16,Ferrari,13,,5.0,0 days 00:51:57.490000,,,0 days 00:00:36.767000,0 days 00:00:30.617000,261.0,291.0,317.0,135.0,SOFT,4.0,False,False,1,,,,,36.767,30.617
LEC,16,Ferrari,14,0 days 00:01:20.076000,5.0,,,0 days 00:00:26.509000,0 days 00:00:26.941000,0 days 00:00:26.626000,326.0,341.0,313.0,350.0,SOFT,5.0,False,True,1,,,80.076,26.509,26.941,26.626
LEC,16,Ferrari,15,0 days 00:01:53.708000,5.0,,0 days 00:56:57.249000,0 days 00:00:32.510000,0 days 00:00:39.217000,0 days 00:00:41.981000,225.0,185.0,,239.0,SOFT,6.0,False,False,1,,,113.708,32.51,39.217,41.981
LEC,16,Ferrari,16,,6.0,0 days 01:04:13.255000,,,0 days 00:00:32.845000,0 days 00:00:32.924000,291.0,305.0,317.0,223.0,SOFT,1.0,True,False,1,,,,,32.845,32.924
